//當代中文/Book 1/L01-I		
陳月美	Chén Yuèměi	a woman from Vietnam
李明華	Lǐ Mínghuá	a man from Taiwan
王開文	Wáng Kāiwén	a man from the US
你	nǐ	(N) you
來	lái	(V) to come
是	shì	(Vst) to be
小姐	xiǎojiě	(N) Miss, Ms
嗎	ma	(Ptc) sentence final particle
接	jiē	(V) to pick sb up
我們	wǒmen	(N) we, us
我	wǒ	(N) I, me
這	zhè / zhèi	(Det) this
先生	xiānshēng	(N) Mr
好	hǎo	(Vs) fine, well
姓	xìng	(Vst) to be surnamed
叫	jiào	(Vst) to be called, i.e., to have the first name xx
你們	nǐmen	(N) you (plural)
臺灣/台灣	Táiwān	Taiwan
歡迎	huānyíng	welcome
請問	qǐngwèn	May I ask you... Excuse me,…
是的	shìde	yes
謝謝	xièxie	Thank you
不客氣	búkèqì	You're welcome'
你好	nǐ hǎo	How are you? Hello
//當代中文/Book 1/L01-II		
請	qǐng	(V) please
喝	hē	(V) to drink
茶	chá	(N) tea
很	hěn	(Adv) very
好喝	hǎohē	(Vs) (lit. good to drink) to taste good
什麼	shénme	(N) what
人	rén	(N) person, people
喜歡	xǐhuān	(Vst) to like
呢	ne	(Ptc) sentence final particle
他	tā	(N) he, him
不	bù	(Adv) not
哪	nǎ / něi	(Det) which
要	yào	(Vaux) to want to
咖啡	kāfēi	(N) coffee
烏龍茶	Wūlóng chá	Oolong tea
日本	Rìběn	Japan
美國	Měiguó	America
對不起	duìbùqǐ	I'm sorry'
哪國	nǎguó / něi guó	Which country?
//當代中文/Book 1/L02-I		
張怡君	Zhāng Yíjūn	a woman from Taiwan
馬安同	Mǎ Āntóng	a man from the Republic of Honduras
的	de	(Ptc) modification marker
家人	jiārén	(N) family (members)
家	jiā	(N) home, house
漂亮	piàoliàng	(Vs) pretty
房子	fángzi	(N) house
坐	zuò	(Vi) to sit
好	hǎo	(Ptc) OK
有	yǒu	(Vst) to have
多	duō	(Vs-pred) many
照片	zhàopiàn	(N) photo
都	dōu	(Adv) all, both
照相	zhàoxiàng	(V-sep) to take a photo
